type,url,modify,title,date,duration,description,thumbnail,tags,extra1,extra2
video,https://www.youtube.com/watch?v=oxDMC8jAMFY,,Tableau Time Series: How many in a certain moment?,2019-10-19,06:03,"How many members did the club have at a certain moment in time? The answer to this question is not as straightforward as you might think. In this video, I show you a solution to this problem. 

In ...",https://i.ytimg.com/vi/oxDMC8jAMFY/maxresdefault.jpg,,,
talk,https://www.youtube.com/watch?v=9eiYoB21uuo,,Juan Manuel Perafan: The fine art of organizing Meetups | Big Data Summit Warsaw 2023,2023-09-13,29:07,"Meetups are a great way to upskill your team, create internal/external data communities, improve your leadership skills, and hire new talent. In fact, the tech world is famous for its vibrant meetu...",https://i.ytimg.com/vi/9eiYoB21uuo/maxresdefault.jpg,,,
talk,https://godatafest.com/broadcasts/the-multidisciplinary-art-of-creating-great-kpis/,,,,,,,,,
video,https://www.youtube.com/watch?v=ZFXN0-pr9s4,,The Problem with Open-Source Dashboarding Tools,2021-08-08,06:01,"As soon as programmer hear about the cost of a tool like Tableau or Power BI, their first instinct is to look for an open-source alternative. So far, I haven't found a good one. Open-source alterna...",https://i.ytimg.com/vi/ZFXN0-pr9s4/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=gyA3xBr8tbo,,The Problem with Tableau & Power BI,2021-08-26,06:44,I love how Tableau & Power BI are constantly pushing each other to become better tools. Both of these tools come with an army of shiny features. But I believe could still learn a lot from DevOps an...,https://i.ytimg.com/vi/gyA3xBr8tbo/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=aBNLPaCChn8,,The Problems with KPI's (Key Performance Indicators),2021-08-16,07:40,KPI's are an invaluable tool to track the progress of your organization. But they can be a double-edge sword and here are 3 reasons why.,https://i.ytimg.com/vi/aBNLPaCChn8/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=nmfsoncAK3M,,Using Google Sheets to Scrape Web data,2019-11-01,04:57,This video teaches you how to use the =IMPORTHTML() formula from Google Sheets to extract data from a website.,https://i.ytimg.com/vi/nmfsoncAK3M/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=oSZe2UV0sNs,,Using R script visuals in Power BI,2021-04-25,07:17,"Power BI makes it possible to embed R and Python visuals inside of your reports. Using this feature can add different levels of complexity, but it can be a game changer for those visualizations tha...",https://i.ytimg.com/vi/oSZe2UV0sNs/maxresdefault.jpg,,,
podcast,https://www.tableau.com/nl-nl/learn/webinars/versnel-je-data-en-haal-poleposition-met-tableau,,Versnel je data en haal poleposition met Tableau,,,Dutch webinar - discover how Tableau transforms Formula 1 data into powerful visualisations and race-winning insights.,,,,
talk,https://godatafest.com/broadcasts/visualizing-big-data-the-art-of-dealing-with-high-density-visualizations/,,,,,,,,,
podcast,https://youtu.be/51BPZkOsmKw?si=pTMuTf3sZWsaf4u-,,SQL Lingua Franca #3 - Tony Zeljković - Developer Experience,2024-07-21,53:31,"🎙️ ⁠Tony Zeljković: Data Engineer at Full scale bioinformatics

In this episode, we explore the developer experience in data engineering with our guest, Tony. The conversation delves into strategie...",https://i.ytimg.com/vi/51BPZkOsmKw/maxresdefault.jpg,,,
podcast,https://youtu.be/A5TOnCdsJlo?si=JdkTBgwdCp5lm9ny,,SQL Lingua Franca #7 - Ksenia Iakovleva - KPIs & Django Girls,2024-09-01,54:40,"🎙️ ⁠Ksenia Iakovleva: IT Service Manager at flatexDEGIRO

Django Girls: https://djangogirls.org/en/amsterdam/

In this episode, Ksenia discusses her transition from journalism to data analysis in t...",https://i.ytimg.com/vi/A5TOnCdsJlo/maxresdefault.jpg,,,
podcast,https://youtu.be/FelO2Zaetos?si=L0i8vg8zLJzhix8l,,SQL Lingua Franca #8 - Pádraic Slattery - Mature Data Teams,2024-09-11,56:30,"🎙️ ⁠Pádraic Slattery: Principal Analytics Engineer at Xebia

dbt beyond the basics: https://github.com/pgoslatara/dbt-beyond-the-basics

In this episode, Padraic shares his background, starting fro...",https://i.ytimg.com/vi/FelO2Zaetos/maxresdefault.jpg,,,
podcast,https://youtu.be/I1tKn4ZT4No?si=LVJ_ziYhscy3aSnY,,SQL Lingua Franca #1 - Fanny Kassapian - Data Transformations,2024-07-04,51:15,"🎙️ ⁠Fanny Kassapian⁠: Principal Consultant at Xebia

In this episode, we dive into the world of data transformations. Our guest, ⁠Fanny Kassapian⁠, shares insights on creating efficient, scalable, ...",https://i.ytimg.com/vi/I1tKn4ZT4No/maxresdefault.jpg,,,
podcast,https://youtu.be/jaoGFMFM7zc?si=kjMKWraKttM4IKxM,,SQL Lingua Franca #5 - Daniel Herrera - Product Advocacy & GenAI,2024-08-11,49:11,"🎙️ ⁠Daniel Herrera: Principal Developer Advocate at Teradata

Toddler: https://github.com/Teradata/toddler

In this episode, we explore the global data landscape with Daniel Herrera, a developer ad...",https://i.ytimg.com/vi/jaoGFMFM7zc/maxresdefault.jpg,,,
podcast,https://youtu.be/OV5wvvsM5z0?si=xTTNiZftsWKIkzxO,,SQL Lingua Franca #2 - Ricardo Granados Lopez - Data Modeling,2024-07-12,56:30,"🎙️ ⁠Ricardo Granados Lopez: Analytics Engineer at Xebia

In this episode, we delve into the world of data careers and analytics engineering. Our guest, Ricardo Granados, shares his journey from med...",https://i.ytimg.com/vi/OV5wvvsM5z0/maxresdefault.jpg,,,
podcast,https://youtu.be/Sl5jEuxJ9G0?si=7WitYMU02KyJlWBf,,SQL Lingua Franca #6 - Luuk Feitsma - Recruiting Data Professionals,2024-08-26,56:29,"🎙️ ⁠Luuk Feitsma: Head of Recruitment

In this episode, Luuk shares his diverse professional journey, starting in the music industry as a producer and DJ before transitioning into the IT recruitmen...",https://i.ytimg.com/vi/Sl5jEuxJ9G0/maxresdefault.jpg,,,
podcast,https://youtu.be/ee-ZSxsdJCA?si=Xv2l0x0SgHF0vcTb,,From Psychology to Analytics | Juan Manuel Perafan | Ep#6 - Vibe IT Up,2023-12-31,53:19,"Welcome back to Vibe IT Up, the podcast that delves into the ever-evolving world of tech and software development. 🎧

I'm Dan Tudorache, your host and a seasoned professional with over two decades ...",https://i.ytimg.com/vi/ee-ZSxsdJCA/maxresdefault.jpg,,,
,,,,,,,,,,
